# SoFiA source catalogue
# Creator: SoFiA 2.4.1 (23-Mar-2022)
# Time:    Fri, 22 Aug 2025, 09:01:53
#
# Note that the plain-text catalogue is solely intended for
# visual inspection and should not be used for quantitative
# analysis due to limited precision and the lack of Unified
# Content Descriptors.  The XML catalogue should instead be
# imported into Python or VO-compatible software to analyse
# the source parameters measured by SoFiA, e.g. through the
# astropy.io.votable module of Astropy.
#
# Header rows:
#   1 = column number
#   2 = parameter name
#   3 = parameter unit
#
#                           1             2             3             4             5             6             7             8             9            10            11            12            13            14            15            16            17            18            19            20            21            22            23            24            25            26            27            28            29            30            31            32            33            34            35            36            37            38            39            40            41            42            43            44            45            46
#                        name            id             x             y             z         x_min         x_max         y_min         y_max         z_min         z_max         n_pix         f_min         f_max         f_sum           rel          flag          fill          mean           std          skew          kurt           rms           w20           w50          wm50       ell_maj       ell_min        ell_pa     ell3s_maj     ell3s_min      ell3s_pa        kin_pa         err_x         err_y         err_z     err_f_sum            ra           dec         v_opt        x_peak        y_peak        z_peak       ra_peak      dec_peak    v_opt_peak
#                           -             -           pix           pix           pix           pix           pix           pix           pix           pix           pix             -       Jy/beam       Jy/beam       Jy/beam             -             -             -       Jy/beam       Jy/beam             -             -       Jy/beam           pix           pix           pix           pix           pix           deg           pix           pix           deg           deg           pix           pix           pix       Jy/beam           deg           deg           m/s           pix           pix           pix           deg           deg           m/s

  "SoFiA J230432.53+121431.6"            33    291.356375    226.923922    139.332416           289           295           223           231           139           144            21      0.001899      0.004525      0.073380      0.000000             0      0.055556      4.943819      0.958891     -2.096205      3.481362      0.001170      0.800000      0.500000      0.880237      5.356165      2.447387    -21.236633      4.497029      2.855243    -13.981193    253.484048      0.116369      0.182662      0.092534      0.005362    346.135544     12.242104   2.23726e+06           294           228           139    346.128029     12.245090   2.23837e+06
  "SoFiA J230503.82+123013.2"            34    245.497909    321.080504    139.591468           243           248           318           325           135           143            68   9.04601e-05      0.003929      0.111931      0.000000             0      0.157407      2.515995      1.797034      0.724918     -0.635892      0.001832      3.302570      1.671667      6.828479      3.840506      2.339137      4.998227      0.000000      0.000000      0.000000     -1.000000      0.156134      0.250459      0.246692      0.015106    346.265923     12.503667   2.23639e+06           244           321           140    346.270185     12.503443   2.23502e+06
  "SoFiA J230526.09+120512.9"            35    212.815566    171.055631    139.244011           209           216           165           176           135           143            73     -0.001300      0.004313      0.146480      0.000000             0      0.084491      2.368766      1.616507      0.495603     -0.363759      0.001988      7.877591      7.548495      7.928248      5.914571      3.130932    -14.484705      0.000000      0.000000      0.000000     -1.000000      0.166290      0.323939      0.311806      0.016987    346.358718     12.086904   2.23755e+06           213           172           136    346.358195     12.089528   2.24841e+06
  "SoFiA J230326.12+121633.6"            36    388.687859    239.209389    138.723741           386           393           234           244           135           142           132  -3.76294e-04      0.004181      0.268476      0.000000             0      0.187500      2.579908      1.693502      0.809418     -0.417832      0.001774      6.898389      6.561493      6.832295      4.638536      2.006626     31.609156      1.549662      0.910921     18.672551     -1.000000      0.116138      0.150246      0.154287      0.020381    345.858837     12.275989   2.23929e+06           388           239           136    345.860793     12.275410   2.24841e+06
  "SoFiA J230615.57+121302.1"            37    140.305996    218.043776    140.672670           135           147           208           227           138           142            90   4.83591e-04      0.003580      0.190008      0.000000             0      0.069231      3.564182      1.552957      0.226685     -1.352915      0.001557      2.582495      1.758299      2.439490     10.338646      4.080639     19.446575      0.000000      0.000000      0.000000     -1.000000      0.185298      0.385914      0.054221      0.014768    346.564863     12.217258   2.23277e+06           139           215           141    346.568564     12.208799   2.23168e+06
  "SoFiA J230520.00+120138.8"            38    221.737211    149.642058    136.479166           218           225           147           154           134           142            42  -4.25456e-04      0.004027      0.098988      0.000000             0      0.072917      3.289308      1.975013     -0.341916     -1.465144      0.001747      5.621849      5.054622      8.000000      3.918394      2.382157     49.588744      0.000000      0.000000      0.000000     -1.000000      0.167910      0.196911      0.277309      0.011324    346.333352     12.027432   2.24681e+06           223           148           136    346.329764     12.022872   2.24841e+06
  "SoFiA J230503.49+115606.8"            39    245.964784    116.439713    130.633964           238           253           107           131           122           139           424  -5.14310e-04      0.004482      0.919633      0.000000             4      0.058889      3.936607      2.727415      0.529892      0.519026      0.001410     10.869369      4.319289     12.971149     13.701633      6.440120    -19.770871     13.816434      5.289496     -6.656813    171.716263      0.119096      0.190922      0.116198      0.029029    346.264533     11.935217   2.26637e+06           244           110           129    346.270109     11.917328   2.27184e+06
  "SoFiA J230443.23+120113.4"            40    275.694381    147.100975    135.383615           271           281           144           151           133           138            62     -0.001599      0.004636      0.138883      0.000000             0      0.117424      4.083852      2.692423     -0.507131     -1.247313      0.001593      4.930660      4.581662      4.990045      6.568863      2.089807     64.498281      2.709809      1.000000     71.526298     -1.000000      0.257313      0.144579      0.152287      0.012541    346.180109     12.020385   2.25047e+06           280           145           134    346.167882     12.014546   2.25510e+06
  "SoFiA J230621.85+120758.4"            41    131.055473    187.679390    133.475939           129           133           182           192           130           137            56  -7.61118e-05      0.004466      0.154217      0.000000             0      0.127273      4.307007      1.757713     -0.626138     -0.532884      0.001794      7.000000      6.440699      7.000000      6.312948      1.966751     -0.493696      4.778249      0.971322     14.054005     -1.000000      0.091182      0.286399      0.225905      0.013425    346.591042     12.132880   2.25686e+06           130           190           134    346.594049     12.139322   2.25510e+06
  "SoFiA J230610.80+121205.7"            42    147.284762    212.388920    132.697903           145           149           207           216           125           136            45   7.15006e-04      0.004229      0.102795      0.000000             0      0.075000      3.237542      2.154256      0.526810     -1.430766      0.001750     10.832123      1.051561     10.955041      4.345320      1.713008      1.994064      0.000000      0.000000      0.000000     -1.000000      0.101671      0.222900      0.324929      0.011738    346.545009     12.201573   2.25946e+06           147           212           135    346.545818     12.200492   2.25176e+06
  "SoFiA J230609.23+123117.7"            43    149.716035    327.590845    132.071273           148           152           322           333           129           135            37   4.82120e-04      0.003950      0.095885      0.000000             0      0.088095      2.804030      1.189590      0.060009     -0.860279      0.002070      4.297962      3.084793      3.896969      5.014049      0.989356     18.014750      0.000000      0.000000      0.000000     -1.000000      0.125401      0.329628      0.159766      0.012592    346.538470     12.521586   2.26156e+06           150           327           132    346.537660     12.519946   2.26180e+06
  "SoFiA J230401.40+121653.0"            44    336.982264    241.094447    132.189448           335           340           238           244           130           135            56     -0.001237      0.003435      0.090509      0.000000             0      0.222222      2.227205      1.826333      0.032590     -0.877348      0.002525      3.800000      1.939110      3.775219      3.557676      1.545504     40.597679      0.000000      0.000000      0.000000     -1.000000      0.242069      0.276158      0.218593      0.018899    346.005822     12.281388   2.26117e+06           336           242           133    346.008612     12.283906   2.25845e+06
  "SoFiA J230602.99+123730.3"            45    158.892016    364.843169    126.957772           155           164           360           371           124           133           122     -0.002223      0.003698      0.222068      0.000000             4      0.101667      4.069346      2.838849     -0.298917     -0.907281      0.001331      5.725992      5.025870      9.000000      5.942026      3.625001     35.484625      5.618514      1.533586     28.685579     -1.000000      0.128326      0.142019      0.133743      0.014700    346.512471     12.625094   2.27868e+06           157           365           125    346.517857     12.625524   2.28523e+06
  "SoFiA J230549.31+121520.8"            46    178.816613    231.871706    126.812267           173           183           225           241           123           132           185  -2.53812e-04      0.003545      0.296314      0.000000             0      0.098930      2.474497      1.469399      0.609052     -0.122761      0.001260      7.701661      6.000489      7.591474      8.484307      4.071672     19.749897      4.819498      2.336573      4.247278     -1.000000      0.127414      0.220357      0.111469      0.017132    346.455441     12.255778   2.27917e+06           180           230           127    346.452073     12.250582   2.27854e+06
