 298  7068  7370 105.3 4.2  9.76 0.12 310  9.55 0
 299  2052  2417  34.5 3.1  9.50 0.12 241  9.44 0
 301  9055  9391 134.2 4.8            342 11.16 1
 302  8728  9041 129.2 4.8            445 10.41 1
 304 14712 14982 214.0 6.9 10.43 0.12 517 11.21 0
 305  5779  6143  87.8 3.9            100  9.42 1
 306  5005  5367  76.7 3.7  8.97 0.12 252  9.90 0
 307 11802 12114 173.1 5.8            196 10.40 1
 310  7805  8156 116.5 4.5            489 10.69 1
 311  8535  8873 126.8 4.7            335 10.21 1
 312  8628  8956 127.9 4.7 10.29 0.12 632 10.23 0
 314  2625  2991  42.7 3.1 10.17 0.12 558 10.05 0
 315  5088  5456  77.9 3.7            259  9.78 1
 316  7147  7452 106.5 4.2            354 10.19 1
 317  2116  2422  34.6 3.1  9.47 0.12 221  9.13 0
 319  4973  5341  76.3 3.7  9.94 0.12 539  9.77 0
 321  8183  8545 122.1 4.6            125 10.01 1
 322  1872  2261  32.3 3.0  8.21 0.12 100  7.92 0
 323  8015  8348 119.3 4.5  9.85 0.12 548  9.78 0
 325  7755  8011 114.4 4.4  9.91 0.12 136  9.60 0
 326  1473  1868  26.7 3.0  8.36 0.12 144  7.99 0
 327  7498  7782 111.2 4.3            419 10.24 1
 328  6519  6867  98.1 4.0  9.63 0.12 320  9.52 0
 329  4099  4473  63.9 3.5 10.00 0.12 582  9.27 0
 330  4292  4642  66.3 3.5  9.07 0.12 187  8.98 0
 331 11239 11455 163.6 5.6 10.26 0.12 440 10.63 0
 332  4307  4657  66.5 3.5  9.37 0.12 285  9.31 0
 333  8314  8613 123.0 4.6  9.78 0.12 204  9.51 0
 334  5095  5485  78.4 3.7  9.38 0.12 289  9.81 0
 335  3214  3568  51.0 3.2  9.85 0.12 450 10.17 0
 336  8076  8405 120.1 4.5  9.97 0.12 374  9.79 0
 338  3499  3854  55.1 3.4  9.35 0.12 276  9.24 0
 339  7550  7828 111.8 4.3 10.35 0.12 178 10.12 0
 340  4326  4710  67.3 3.5 10.09 0.12 517  9.61 0
 342  4363  4748  67.8 3.5  9.32 0.12 187  9.24 0
 343  5344  5739  82.0 3.8 10.05 0.12 252  9.96 0
 344  5034  5376  76.8 3.6  9.86 0.12 271  9.53 0
 345  7044  7441 106.3 4.3  9.73 0.12 391  9.72 0
 346  5939  6177  88.2 3.8  9.13 0.12 227  9.43 0
 348 11209 11563 165.2 5.5            401 10.63 1
 349 11762 11981 171.2 5.6            100 10.03 1
 350  7628  8025 114.6 4.4            487 10.35 1
 351  5976  6369  91.0 3.9  9.68 0.12 280  9.50 0
 352  1705  2089  29.8 3.1  8.08 0.12 169  8.32 0
 353  5481  5885  84.1 3.8  9.45 0.12 218  9.57 0
 354  3827  4195  59.9 3.5  9.10 0.12 153  9.48 0
 355  4371  4745  67.8 3.5  9.82 0.12 371  9.58 0
 356  4303  4671  66.7 3.4  9.19 0.12 197  9.72 1
 357  5991  6222  88.9 3.8  9.56 0.12 212  9.54 0
