 126  12.1  1.1  3.3  8.9 10  11.0  18.2   3.26 0.15 1.03   3.37 11615.2  22.5 0.04 362.6  31.8 54.8 0.96 296.3 0 0 AOL Sp05
 127        5.4  3.9  2.6                                                                                       1   NRT     
 128  87.9  8.8  5.4  1.8  2  10.0  68.0  19.98 0.55 1.11  22.13  6613.6   3.6 0.02 369.5   5.1  0.0 0.98 361.5 0 0 AOL HG80
 129   4.1  0.6  1.4  5.3 10   6.9  11.3   0.86 0.07 1.01   0.86  9298.5  11.3 0.03 452.8  15.9 18.3 0.97 421.5 0 0 ERT     
 130  27.9  1.5  3.9  8.6  8  19.0  29.0   6.15 0.20 1.11   6.80  6407.3   6.2 0.02 395.5   8.8 44.4 0.98 343.8 0 0 AOL Sp05
 131  25.9  1.4  4.0  8.7 10  19.0  24.6   4.03 0.12 1.05   4.25  8052.5  10.7 0.03 165.2  15.2 59.8 0.97 102.6 0 0 AOL Sp05
 132   4.6  0.7  1.2  5.3  6   6.6  15.8   1.03 0.06 1.01   1.04  7289.5  15.0 0.02 282.6  21.2  8.6 0.98 267.5 0 0 ERT     
 133   8.2  1.1  0.9  0.7 10   7.3  35.8   1.82 0.04 1.05   1.92  6987.5   5.8 0.02 353.5   8.2  2.4 0.98 343.1 0 0 AOG     
 134  22.5  1.1  1.1  5.2  2  21.1  65.7   3.79 0.10 1.01   3.84  5198.5   1.6 0.02 277.8   2.2  0.0 0.98 273.1 0 0 ERT     
 135  24.4  2.5  3.3  8.5  2   9.6  31.4   5.71 0.31 1.09   6.21  5219.5   6.5 0.02 308.7   9.2  0.0 0.98 303.4 0 0 AOL Sp05
 136   4.7  0.9  2.0  2.6 22   5.5  10.1   1.13 0.08 1.01   1.14  4971.0  25.6 0.02 623.6  36.2 14.1 0.98 599.6 0 1 NRT     
 137  15.6  1.4  3.7  8.6  8  11.2  13.7   1.71 0.10 1.02   1.74  6381.5  10.0 0.02 115.5  14.1 40.2 0.98  73.8 0 0 AOL Sp05
 138  27.0  2.0  5.9  8.5 10  13.3  30.4   9.85 0.31 1.29  12.68  3815.0  10.4 0.01 486.9  14.7 58.2 0.99 423.3 0 0 AOL Sp05
 139 190.9  7.5 12.3 13.3  2  25.4  57.9  30.58 0.88 1.23  37.53   858.9   3.8 0.00 185.4   5.4  0.0 1.00 184.8 0 0 HIP Me04
 141  14.1  2.3  6.0 11.1  6   6.0   6.9   1.39 0.19 1.01   1.39  1716.0  16.2 0.01 110.8  22.9 15.1 0.99  95.2 0 0 G91 Sp05
 142   6.6  0.9  1.0  2.2  6   7.4  17.6   0.75 0.04 1.00   0.75  7824.9   5.1 0.03 172.0   7.2  5.6 0.97 162.2 0 0 GBT     
 143  31.1  3.4  3.8  4.1  3   9.1  45.8   9.56 0.32 1.08  10.37  5317.5   7.5 0.02 387.3  10.5  0.0 0.98 380.5 0 0 AOL HG84
 144  37.2  2.2  5.8  8.6  8  16.7  42.1  13.48 0.34 1.15  15.49  3847.1   8.1 0.01 472.4  11.4 44.3 0.99 422.7 0 0 AOL Sp05
 145   5.0  0.9  2.6  8.4 10   5.6   8.1   1.16 0.13 1.09   1.26  3711.6  26.3 0.01 434.0  37.2 19.1 0.99 409.9 0 1 AOL Sp05
 146  34.7  1.9  4.3  8.5  6  18.0  29.6   5.91 0.19 1.08   6.36  3869.3   5.2 0.01 211.6   7.4 29.1 0.99 180.2 0 0 AOL Sp05
 147 197.0  1.1  0.9  3.1  2 180.3 752.7  35.75 0.08 1.09  38.86  2457.2   0.2 0.01 322.4   0.3  0.0 0.99 319.8 0 0 G91 TC88
 148  16.8  1.9  1.9  5.3  2   9.0  31.7   2.88 0.15 1.01   2.90  7394.8   8.3 0.02 223.3  11.7  0.0 0.98 217.9 0 0 ERT     
 149  14.3  1.4  1.4  5.2  2  10.2  34.0   1.98 0.10 1.01   2.00  4976.0   4.7 0.02 166.7   6.7  0.0 0.98 164.0 0 0 ERT     
 150  24.0  2.9  2.1  2.6  2   8.3  35.1   2.86 0.14 1.03   2.94  9226.8   3.4 0.03 154.9   4.9  0.0 0.97 150.3 0 0 NRT     
 151  41.1  2.3  5.1  8.5  6  18.2  38.6  10.80 0.30 1.17  12.69  4811.6   5.4 0.02 377.8   7.7 29.3 0.98 343.0 0 0 AOL Sp05
 152  50.1  1.8  2.6 10.6  2  27.8  58.4   6.10 0.17 1.02   6.24  2514.7   3.0 0.01 159.4   4.2  0.0 0.99 158.1 0 0 NRT KLUN
 153        2.5  2.5  5.2                                                                                       1   ERT     
 154  38.2  4.0 10.6  8.6  8   9.5  12.7   6.03 0.40 1.09   6.60  4567.3   9.6 0.02 201.2  13.6 34.3 0.98 164.4 0 0 AOL Sp05
