galaxy,group,phase,hi_diameter_kpc,hi_diameter_err_kpc,hi_mass,hi_mass_err,optical_diameter_kpc,optical_diameter_err_kpc,log_stellar_mass,distance_mpc,linear_resolution_kpc,coldens_limit,fractional_mass_error
HCG58a,HCG58,2,43.49842433068799,0.3314925229074365,4523064038.908826,220721.61374893482,33.35283747950211,2.8387868660786126,0.0,85,35.852767595614885,9.566546686630957e+18,0.004879913524332571
HCG58e,HCG58,2,24.628951804669136,,1228440541.4908972,52811.92200036544,16.70290280413472,2.77199188099441,0.0,83,35.009173063953355,4.111363704811813e+18,0.004299102823183468
HCG59b,HCG59,1,35.19649901608604,0.4070121100025112,2155353260.1777267,59420.19916612633,11.33876809923052,2.315079307400735,9.88,59,8.25042453916834,5.044450609851887e+19,0.0027568659051846866
HCG59c,HCG59,1,14.836354433588008,0.36811075139977323,453466961.65397775,9088.233966883312,15.24243708151573,2.0561481863203377,9.24,63,8.809775355383145,1.7302632777767772e+19,0.002004166727766636
HCG59d,HCG59,1,28.162921163872415,0.29962469912729345,1353770834.6123748,48301.60677062718,10.165806879043933,1.9370545674418769,8.66,58,8.110586835114642,5.097558762739378e+19,0.003567930814852972
HCG61c,HCG61,3a,23.54005696687486,0.17579639588819748,1354047960.8795948,43396.51657061881,28.305127267185927,1.9136614661647782,0.0,60,9.387043179390721,2.669005887565882e+19,0.0032049467836005063
HCG68c,HCG68,3c,67.22984827237248,0.4070846184182252,8269523810.442824,4919.906574337775,26.61906388805288,1.035601756993955,10.93,34,13.192469978232875,1.291510645801552e+18,5.949443628331871e-05
AGC242021,HCG71,2,47.89540333175088,0.8466489768510155,4974726132.2335825,159119.470373954,11.775657273865148,4.7971705315532045,0.0,131,20.83243542003979,2.6113724611532685e+19,0.003198557390786688
AGC732898,HCG71,2,29.15534476116372,1.1453127474801377,1574988005.6547496,66193.98202116915,13.623966649726995,7.661319460156597,0.0,129,20.514382970878877,2.2105135831632708e+19,0.004202824515711228
HCG71a,HCG71,2,117.24726148503922,0.9118521753107428,24008309833.259113,307504.1912029689,41.453910222499495,4.340757282231824,10.89,133,21.150487869200703,2.7491160062282375e+19,0.001280823986938798
HCG71c,HCG71,2,53.874598240177896,0.4400491370536178,5954975183.459607,190146.8916613787,17.523424146280917,4.203576669603968,9.71,123,19.56022562339614,2.781775670691097e+19,0.0031930761389153397
HCG79d,HCG79,2,22.94693298360609,0.23132852449808083,1922871660.780385,54375.45920938978,19.45555823934192,2.285828780538643,9.03,61,8.022804989266152,5.7468676746185966e+19,0.0028278257108080656
HCG88a,HCG88,1,19.520279179439594,0.39340409159429424,674196440.0374798,74847.0377487067,32.57958749993919,2.3601824749365594,0.0,74,10.187959537243389,4.815907429017992e+19,0.011101666117451737
HCG88b,HCG88,1,37.03336405125,0.3178478160561209,2069552260.6637192,111215.97639614166,27.098520559918875,2.3601824749365594,0.0,74,10.187959537243389,6.077590041594495e+19,0.005373914856369655
HCG88c,HCG88,1,55.13300285700938,0.26714765451028033,6120356866.599244,150610.99841217155,22.324159919596934,2.392076832705973,0.0,75,10.325634666125055,6.271536728571085e+19,0.002460820532118057
HCG88d,HCG88,1,29.82786453492892,0.5113628571321045,2738359369.760155,353836.45054329326,22.53956765222138,2.3601824749365594,0.0,74,10.187959537243389,2.6567565432626528e+20,0.012921476065220934
HCG90a,HCG90,3c,21.879635676397648,1.2587531200188742,842277563.5792412,64710.04485894458,23.381040806320208,0.9973873136240479,0.0,32,9.821660314177267,2.768819910061097e+19,0.0076827458853303155
HCG91a,HCG91,2,58.823974619767874,1.563116843958782,6339332602.928108,262257.4392064932,51.61254254316345,2.9023865570165803,11.06,91,30.710827820433384,1.7820999521742848e+19,0.004136988160005324
HCG91b,HCG91,2,53.58011894660897,0.5340997878431911,4656857932.568822,338172.59755392856,34.4747947228779,2.9342809147859934,10.6,92,31.04830944483375,1.8560211541550035e+19,0.007261819073088737
HCG91c,HCG91,2,39.21042056872374,0.6282728282341802,4708182339.828706,227441.88575080674,24.10997777824398,2.966175272555406,10.27,93,31.385791069234116,1.6301825586839525e+19,0.004830779042408149
HCG93b,HCG93,3c,42.7605621630082,0.5644988981119399,2491794298.6690288,26921.909293696153,30.332058753499712,1.7454277988420839,0.0,56,21.716932725942698,3.684387456101485e+18,0.001080422621886416
HCG96a,HCG96,2,75.7278942613879,0.926950629911678,9808298705.417728,454205.19869570906,37.8592364465332,3.78592364465332,11.31,116,18.30585375171469,5.384126462806394e+19,0.004630825511511221
