# A catalog of galaxies from the primary analysis sample in the paper "New Lessons from the  HI Size-mass Relation of Galaxies"
# Galaxies from the B97 sample are not included for a similar table is available in B97.
# The columns are 
# 1) galaxy name,
# 2) ${\rm D_{HI}}$ (kpc),
# 3) log ${\rm M_{HI}/M_{\odot}$,
# 4) the distance (Mpc),
# 5) the position angle (northern is 90 degree, counter-clock wise),
# 6) the axis ratio,
# 7) the B band magnitude,
# 8) the B band D$_{25}$ (kpc),
# 9) the sample name (Table 1 in the paper),
# 10) the reference paper for {\rm $D_{HI}$} and ${\rm M_{HI}}$r
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
    galaxy       DHI   log MHI       dis        PA       b/a       M_B       D25              sample                               reference
                 kpc      Msun       Mpc       deg                 mag       kpc                                                            
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
   NGC3992     51.40      9.78      18.6      68.0      0.56    -20.77     36.52          Ursa Major                 Verheijen et al. (2001)
   UGC6940      6.60      8.23      18.6      45.0      0.26    -15.45      4.10          Ursa Major                 Verheijen et al. (2001)
   UGC6940      6.60      8.23      18.6      45.0      0.26    -15.45      4.10          Ursa Major                 Verheijen et al. (2001)
   UGC6962     14.93      8.91      18.6      89.0      0.80    -18.03     12.44          Ursa Major                 Verheijen et al. (2001)
   UGC6962     14.93      8.91      18.6      89.0      0.80    -18.03     12.44          Ursa Major                 Verheijen et al. (2001)
   NGC4010     36.36      9.49      18.6      65.0      0.10    -18.35     14.25          Ursa Major                 Verheijen et al. (2001)
   UGC6969     10.28      8.70      18.6      60.0      0.24    -15.97      7.64          Ursa Major                 Verheijen et al. (2001)
   UGC6969     10.28      8.70      18.6      60.0      0.24    -15.97      7.64          Ursa Major                 Verheijen et al. (2001)
   UGC6973     23.91      9.27      18.6      40.0      0.33    -18.73      9.14          Ursa Major                 Verheijen et al. (2001)
   UGC6973     23.91      9.27      18.6      40.0      0.33    -18.73      9.14          Ursa Major                 Verheijen et al. (2001)
   UGC6983     33.22      9.50      18.6      90.0      0.66    -16.96     10.17          Ursa Major                 Verheijen et al. (2001)
   NGC4051     31.27      9.46      18.6      41.0      0.66    -17.81     25.59          Ursa Major                 Verheijen et al. (2001)
   NGC4085     20.99      9.08      18.6      75.0      0.14    -17.49     13.85          Ursa Major                 Verheijen et al. (2001)
   NGC4085     20.99      9.08      18.6      75.0      0.14    -17.49     13.85          Ursa Major                 Verheijen et al. (2001)
   NGC4088     45.99      9.92      18.6      51.0      0.36    -20.23     23.74          Ursa Major                 Verheijen et al. (2001)
   NGC4088     45.99      9.92      18.6      51.0      0.36    -20.23     23.74          Ursa Major                 Verheijen et al. (2001)
   NGC4100     37.33      9.53      18.6      74.0      0.29    -19.74     21.57          Ursa Major                 Verheijen et al. (2001)
   NGC4102     12.55      8.82      18.6      38.0      0.56    -19.63      9.65          Ursa Major                 Verheijen et al. (2001)
   NGC4157     49.78      9.94      18.6      63.0      0.14    -19.28     26.71          Ursa Major                 Verheijen et al. (2001)
   NGC4183     33.22      9.60      18.6      76.0      0.14    -17.91     20.87          Ursa Major                 Verheijen et al. (2001)
   NGC4217     34.52      9.44      18.6      50.0      0.10    -19.02     24.63          Ursa Major                 Verheijen et al. (2001)
   NGC4389     14.07      8.79      18.6       6.0      0.64    -18.61     14.25          Ursa Major                 Verheijen et al. (2001)
   NGC4189     12.38      8.75      16.5      66.0      0.73    -18.71     12.64                VIVA                               this work
   NGC4192     43.82      9.63      16.5      65.0      0.29    -20.28     34.61                VIVA                               this work
   NGC4216     30.42      9.25      16.5      19.0      0.22    -20.23     33.20                VIVA                               this work
   NGC4254     33.83      9.65      16.5      68.0      0.88    -20.80     21.58                VIVA                               this work
   NGC4294     18.19      9.21      16.5      65.0      0.39    -18.62     11.04                VIVA                               this work
   NGC4298     13.54      8.69      16.5      50.0      0.58    -19.19     14.24                VIVA                               this work
   NGC4299     14.97      9.04      16.5      42.0      0.94         -      7.10                VIVA                               this work
   NGC4321     32.38      9.46      16.5      30.0      0.85    -21.14     34.72                VIVA                               this work
   NGC4351      9.86      8.48      16.5      61.0      0.68    -17.70     11.04                VIVA                               this work
   NGC4380      9.90      8.10      16.5      63.0      0.56    -17.78     14.24                VIVA                               this work
   NGC4383     34.88      9.47      16.5      13.0      0.53    -18.51      5.66                VIVA                               this work
   NGC4388     10.65      8.57      16.5       2.0      0.24    -19.46     17.89                VIVA                               this work
   NGC4394     17.43      8.64      16.5      23.0      0.90    -19.31     16.93                VIVA                               this work
   NGC4396     16.42      8.94      16.5      35.0      0.30    -18.13     10.48                VIVA                               this work
   NGC4405      3.18      7.65      16.5      20.0      0.65    -18.16      7.78                VIVA                               this work
   NGC4402     11.37      8.57      16.5      90.0      0.29    -18.65     14.24                VIVA                               this work
    IC3355      8.44      8.29      16.5      82.0      0.42    -16.02      5.28                VIVA                               this work
   NGC4450     10.24      8.45      16.5      85.0      0.75    -20.30     22.22                VIVA                               this work
   NGC4457      7.72      8.29      16.5      82.0      0.85    -19.28      9.58                VIVA                               this work
