# CIG: AMIGA/CIG galaxy identifier,logd25: logarithm of the optical D25 diameter,E_logd25: uncertainty on logd25,PHYS_DISTANCE_decimal: uncertainty/decimal companion field from RESULTS_OPT
CIG,logd25,E_logd25,PHYS_DISTANCE_decimal
243,0.899,0.053,57.725
244,1.069,0.043,77.116
245,0.622,0.211,53.131
246,1.060,0.042,100.127
247,0.901,0.049,23.764
248,0.664,0.073,146.821
249,0.625,0.077,86.005
250,1.202,0.057,27.950
251,0.967,0.047,148.394
252,0.921,0.051,124.347
253,0.835,0.070,122.242
254,0.591,0.078,180.490
255,1.084,0.043,165.961
256,0.950,0.052,91.722
257,0.744,0.085,170.812
258,0.804,0.060,78.905
259,0.920,0.046,120.523
260,1.010,0.048,71.139
261,0.622,0.211,117.078
262,0.729,0.140,104.591
263,0.708,0.069,182.965
264,0.811,0.064,101.205
265,0.951,0.050,12.800
266,1.010,0.042,90.115
267,0.996,0.065,58.174
268,1.046,0.042,60.541
269,0.850,0.068,183.445
270,0.982,0.049,116.205
271,1.041,0.041,106.098
272,0.676,0.073,110.544
273,0.709,0.222,186.904
274,0.656,0.082,97.830
275,1.040,0.065,158.832
276,0.860,0.058,22.581
277,0.983,0.053,58.474
278,1.036,0.069,101.485
279,1.216,0.035,22.526
280,1.066,0.066,66.997
281,1.166,0.055,55.138
282,0.728,0.068,112.957
283,1.190,0.033,51.496
284,0.553,0.085,170.885
285,1.648,0.028,18.365
286,0.724,0.070,114.307
287,0.956,0.043,108.458
288,0.711,0.072,136.260
289,0.747,0.056,160.191
290,1.153,0.039,22.799
291,1.110,0.035,29.822
292,1.467,0.026,23.400
293,1.159,0.031,21.591
294,0.973,0.046,108.725
295,0.979,0.043,73.304
296,1.207,0.030,55.465
297,0.798,0.163,
298,1.195,0.050,92.530
299,1.229,0.031,25.623
300,0.990,0.049,15.590
301,0.689,0.154,116.739
302,0.877,0.054,113.455
303,1.438,0.050,47.223
304,0.893,0.054,193.027
305,0.890,0.133,73.092
306,0.839,0.065,61.668
307,0.733,0.062,153.408
308,0.724,0.158,110.226
309,1.628,0.020,14.404
310,0.951,0.046,100.197
311,0.756,0.066,110.188
312,1.061,0.069,111.766
313,0.843,0.056,220.768
314,1.330,0.034,34.047
315,0.949,0.131,63.659
316,0.955,0.052,93.734
317,1.135,0.036,24.713
318,0.706,0.074,230.807
319,1.285,0.057,62.816
320,0.791,0.060,
321,0.684,0.070,105.048
322,0.799,0.064,23.800
323,1.027,0.041,104.181
324,1.839,0.023,14.100
325,0.925,0.046,104.609
326,1.007,0.042,20.074
327,0.878,0.116,99.454
328,0.897,0.049,84.478
329,1.421,0.030,52.065
330,0.861,0.054,55.971
331,1.075,0.044,150.164
332,0.962,0.049,56.534
333,0.918,0.053,109.585
334,1.006,0.047,63.761
335,1.388,0.025,42.818
336,1.032,0.055,105.303
337,0.903,0.050,230.264
338,0.982,0.050,43.015
339,1.133,0.037,100.348
340,1.264,0.031,54.762
341,0.263,0.327,201.449
342,0.886,0.054,55.143
343,0.997,0.057,67.213
344,1.111,0.039,66.488
345,0.929,0.050,89.016
346,0.978,0.046,83.948
347,2.077,0.016,10.000
348,0.681,0.071,145.425
349,1.032,0.076,157.092
350,1.058,0.047,97.414
351,0.962,0.056,75.347
352,0.870,0.056,20.173
353,0.782,0.145,69.365
354,0.869,0.056,47.334
355,1.031,0.069,56.444
356,0.753,0.065,56.405
357,0.928,0.047,82.178
358,1.156,0.043,47.390
359,1.044,0.059,61.540
360,0.575,0.096,177.066
361,1.202,0.032,91.506
362,1.010,0.081,125.818
363,1.318,0.053,42.382
364,0.886,0.057,83.852
365,0.855,0.119,95.733
366,1.009,0.045,85.891
367,0.949,0.059,101.404
368,0.858,0.058,132.129
369,0.886,0.058,
370,0.709,0.070,133.138
371,1.257,0.039,14.434
372,0.906,0.051,170.412
373,0.803,0.061,138.891
374,1.123,0.055,99.152
375,0.682,0.219,186.441
376,1.079,0.040,45.424
377,1.347,0.031,17.182
378,0.900,0.147,134.538
379,0.762,0.194,75.654
380,0.656,0.078,75.408
381,0.643,0.158,115.584
382,1.198,0.030,34.237
383,1.324,0.027,15.858
384,1.020,0.099,172.772
385,1.220,0.047,39.901
386,0.871,0.053,99.135
387,0.635,0.208,116.998
388,1.689,0.025,1.400
389,1.367,0.058,14.394
390,1.035,0.045,121.493
391,0.955,0.052,62.216
392,0.901,0.055,97.756
393,0.760,0.112,34.634
394,0.896,0.060,133.484
395,0.866,0.057,188.072
396,0.992,0.077,40.867
397,0.889,0.094,33.327
398,0.746,0.067,238.594
399,1.018,0.044,79.055
400,1.491,0.029,66.486
401,1.045,0.039,81.097
402,1.048,0.114,542.345
403,0.811,0.056,153.540
404,0.774,0.080,169.676
405,0.964,0.044,78.386
406,0.778,0.063,107.209
407,1.131,0.038,13.372
408,0.790,0.062,99.607
409,0.766,0.067,81.793
410,0.887,0.051,81.653
411,0.908,0.056,115.208
412,0.620,0.084,169.134
413,0.725,0.070,83.164
414,0.622,0.078,186.662
415,0.633,0.240,151.933
416,1.221,0.034,27.255
417,0.692,0.156,127.934
418,0.847,0.055,84.290
419,0.724,0.069,256.988
420,0.998,0.080,93.567
421,1.138,0.062,89.688
422,1.465,0.034,11.019
423,1.369,0.031,80.223
424,0.716,0.074,100.968
425,0.826,0.155,122.848
426,0.759,0.067,175.781
427,0.705,0.185,94.359
428,1.560,0.028,14.200
429,0.838,0.061,115.593
430,0.656,0.082,164.050
431,0.742,0.071,140.896
432,1.012,0.047,174.637
433,1.067,0.041,50.188
434,1.654,0.028,8.000
435,1.826,0.020,6.100
436,1.421,0.029,12.700
437,0.995,0.129,99.103
438,0.734,0.070,74.808
439,0.861,0.052,82.340
440,0.895,0.050,270.728
441,1.012,0.088,73.203
442,1.610,0.027,13.654
443,0.910,0.082,73.162
444,0.857,0.082,54.497
445,0.865,0.124,114.161
446,0.931,0.113,112.010
447,1.004,0.092,7.800
448,1.371,0.025,13.542
449,1.444,0.031,17.985
450,0.728,0.068,135.939
451,0.896,0.115,154.362
