galaxy,group,phase,hi_diameter_kpc,hi_diameter_err_kpc,hi_mass,hi_mass_err,optical_diameter_kpc,optical_diameter_err_kpc,log_stellar_mass,distance_mpc,linear_resolution_kpc,coldens_limit,fractional_mass_error,is_upper_limit
HCG68c,HCG68,3c,67.22984827237248,0.4070846184182252,8269523810.442824,4919.906574337775,26.61906388805288,1.035601756993955,10.93,34,13.192469978232875,1.291510645801552e+18,5.949443628331871e-05,0
AGC242021,HCG71,2,47.89540333175088,0.8466489768510155,4974726132.233583,159119.470373954,11.775657273865148,4.7971705315532045,0.0,131,20.83243542003979,2.6113724611532685e+19,0.0031985573907866,0
AGC732898,HCG71,2,29.15534476116372,1.1453127474801377,1574988005.6547496,66193.98202116915,13.623966649726995,7.661319460156597,0.0,129,20.51438297087888,2.2105135831632708e+19,0.0042028245157112,0
HCG71a,HCG71,2,117.24726148503922,0.9118521753107428,24008309833.259117,307504.1912029689,41.453910222499495,4.340757282231824,10.89,133,21.150487869200703,2.749116006228237e+19,0.0012808239869387,0
HCG71c,HCG71,2,53.874598240177896,0.4400491370536178,5954975183.459607,190146.8916613787,17.523424146280917,4.203576669603968,9.71,123,19.56022562339614,2.781775670691097e+19,0.0031930761389153,0
HCG79d,HCG79,2,22.94693298360609,0.2313285244980808,1922871660.780385,54375.45920938978,19.45555823934192,2.285828780538643,9.03,61,8.022804989266152,5.7468676746185966e+19,0.002827825710808,0
HCG88a,HCG88,1,19.520279179439594,0.3934040915942942,674196440.0374798,74847.0377487067,32.57958749993919,2.3601824749365594,0.0,74,10.187959537243389,4.815907429017992e+19,0.0111016661174517,0
HCG88b,HCG88,1,37.03336405125,0.3178478160561209,2069552260.6637192,111215.97639614166,27.098520559918875,2.3601824749365594,0.0,74,10.187959537243389,6.077590041594495e+19,0.0053739148563696,0
HCG88c,HCG88,1,55.13300285700938,0.2671476545102803,6120356866.599244,150610.99841217155,22.324159919596934,2.392076832705973,0.0,75,10.325634666125056,6.271536728571085e+19,0.002460820532118,0
HCG88d,HCG88,1,29.82786453492892,0.5113628571321045,2738359369.760155,353836.45054329326,22.53956765222138,2.3601824749365594,0.0,74,10.187959537243389,2.6567565432626528e+20,0.0129214760652209,0
HCG90a,HCG90,3c,21.879635676397648,1.2587531200188742,842277563.5792412,64710.04485894458,23.381040806320208,0.997387313624048,0.0,32,9.821660314177269,2.768819910061097e+19,0.0076827458853303,0
HCG91a,HCG91,2,58.823974619767874,1.563116843958782,6339332602.928108,262257.4392064932,51.61254254316345,2.9023865570165803,11.06,91,30.710827820433384,1.7820999521742848e+19,0.0041369881600053,0
HCG91b,HCG91,2,53.58011894660897,0.5340997878431911,4656857932.568822,338172.59755392856,34.4747947228779,2.9342809147859934,10.6,92,31.04830944483375,1.8560211541550035e+19,0.0072618190730887,0
HCG91c,HCG91,2,39.21042056872374,0.6282728282341802,4708182339.828706,227441.88575080677,24.10997777824398,2.966175272555406,10.27,93,31.38579106923412,1.6301825586839523e+19,0.0048307790424081,0
HCG93b,HCG93,3c,42.7605621630082,0.5644988981119399,2491794298.6690288,26921.909293696157,30.332058753499712,1.745427798842084,0.0,56,21.716932725942694,3.684387456101485e+18,0.0010804226218864,0
HCG96a,HCG96,2,75.7278942613879,0.926950629911678,9808298705.417728,454205.19869570906,37.8592364465332,3.78592364465332,11.31,116,18.30585375171469,5.384126462806394e+19,0.0046308255115112,0
HCG30a,HCG30,3a,17.39104818134057,,,,26.067870271903665,,,62,,,,1
HCG30b,HCG30,3a,17.110547404222167,,,,21.332595403232304,,,61,,,,1
