reynolds_object,environment,distance_mpc,reynolds_lgMHI,reynolds_diameter_hi_arcsec,reynolds_diameter_r_arcsec,reynolds_diameter_hi_kpc,reynolds_diameter_r_kpc,reynolds_ra_deg,reynolds_dec_deg,match_status,query_radius_arcsec,match_count,match_index,separation_arcsec,pgc,hyperleda_objname,hyperleda_anames,hyperleda_otype,hyperleda_mtype,hyperleda_logd25,hyperleda_logr25,hyperleda_ra_deg,hyperleda_dec_deg,hyperleda_d25_arcmin,hyperleda_d25_kpc
J104100-284430,infall,55.85749247933998,9.119535681000228,92.15154333222416,40.077833851772326,24.955077079281157,10.853268396557223,160.25,-28.741666666666667,matched,15.0,1,0.0,10.567903713279426,31809.0,ESO437-39             ESO-LV4370390,ESO437-39             ESO-LV4370390,G,Sbc,0.9200000166893004,0.25,160.253333,-28.741389,0.8317638030661345,13.51473609667462
J104142-284653,infall,66.12985729322584,10.377138440925547,221.92176945714647,47.56905835897022,71.14958296317626,15.250953849506333,160.425,-28.781388888888888,matched,15.0,1,0.0,7.478682365723375,31855.0,ESO437-44             ESO-LV4370440,ESO437-44             ESO-LV4370440,G,Sc,1.1399999856948853,0.0599999986588954,160.425833,-28.779444,1.3803842191347615,26.553617095060147
J104221-291748,infall,66.07662999435247,9.301158742297382,84.2240984110131,26.72878459715513,26.981067146498656,8.562527181244858,160.58749999999998,-29.296666666666667,matched,15.0,1,0.0,11.942085533518208,31901.0,ESO437-46             ESO-LV4370460,ESO437-46             ESO-LV4370460,G,Sbc,0.8199999928474426,0.1299999952316284,160.59125,-29.296111,0.66069343712639,12.6991307666124
J104309-300301,infall,47.560260970544185,9.622785980415014,170.472162551918,42.25903928817735,39.30724143734716,9.74403231204881,160.7875,-30.05027777777778,matched,15.0,2,0.0,4.204629349854811,31948.0,ESO437-49             MCG-5-26-001          ESO-LV4370490,ESO437-49             MCG-5-26-001          ESO-LV4370490,G,SBc,1.2000000476837158,0.1299999952316284,160.787083,-30.049167,1.58489336647576,21.92655455621604
J104311-261500,infall,67.67418753782663,9.89372668421319,169.82120077271173,79.02651288928692,55.7172694561566,25.928102573753353,160.79583333333332,-26.25,matched,15.0,1,0.0,6.727621808795412,31951.0,ESO501-82             MCG-4-26-002          ESO-LV5010820         IRAS10407-2558,ESO501-82             MCG-4-26-002          ESO-LV5010820         IRAS10407-2558,G,SBbc,1.2100000381469729,0.3600000143051147,160.797917,-26.25,1.6218102398133032,31.926345259814703
J104326-251857,infall,56.06566895766311,8.94208512321076,70.12007802923043,20.65068880099536,19.05962123932464,5.613147017806511,160.85833333333332,-25.31583333333333,matched,15.0,1,0.0,10.894599840723636,31960.0,ESO501-83             ESO-LV5010830,ESO501-83             ESO-LV5010830,G,,0.7599999904632568,0.1599999964237213,160.861667,-25.316111,0.5754399247009779,9.384758818620355
J104339-285157,infall,51.74908694120264,9.52279507473585,146.84548518565134,72.71788439494331,36.841572336348726,18.24394665382824,160.91250000000002,-28.86583333333333,matched,15.0,1,0.0,9.196452904066756,31981.0,ESO437-54             ESO-LV4370540         FGCE834               IRAS10412-2836,ESO437-54             ESO-LV4370540         FGCE834               IRAS10412-2836,G,Sbc,1.1799999475479126,0.800000011920929,160.909583,-28.865833,1.5135610656352625,22.783936222997166
J104359-293304,infall,49.78160213846375,8.54564787767505,44.69635256954146,20.58457360762021,10.787376097461305,4.968046038338138,160.99583333333334,-29.551111111111112,matched,15.0,1,0.0,1.3048741816181164,728003.0,,,G,,0.75,0.1199999973177909,160.99625,-29.551111,0.5623413251903492,8.1431978511467
J104629-253308,infall,53.60047091312451,9.019984867197245,82.4361809012175,16.54541453340256,21.42206514518751,4.299531396455646,161.62083333333334,-25.552222222222223,matched,15.0,1,0.0,6.767526586592039,32175.0,ESO501-93             ESO-LV5010930,ESO501-93             ESO-LV5010930,G,Sbc,0.7599999904632568,0.3300000131130218,161.622917,-25.552222,0.5754399247009779,8.972112550088372
J104905-292232,infall,63.76722437543812,9.645963540320608,116.01797158547518,30.850091056168388,35.8672143846563,9.537374378956029,162.27083333333331,-29.37555555555556,matched,15.0,1,0.0,6.612655945988461,32361.0,ESO437-64             ESO-LV4370640,ESO437-64             ESO-LV4370640,G,Sbc,0.8899999856948853,0.1099999994039535,162.272917,-29.375278,0.7762470910600872,14.39871105314357
