cig,PHOT_EXTINCTION_INT,PHOT_EXTINCTION_INT_decimal,PHOT_K_CORRECTION,PHOT_K_CORRECTION_decimal,BTC,BTC_decimal,PHYS_DISTANCE,PHYS_DISTANCE_decimal,PHYS_LUMINOSITY_B,PHYS_LUMINOSITY_B_decimal,POS_INCLIN_LOS,POS_INCLIN_LOS_decimal,ANG_SIZE_MAJ,ANG_SIZE_MAJ_decimal,ANG_SIZE_MIN,ANG_SIZE_MIN_decimal,PHYS_SIZE_MAJ,PHYS_SIZE_MAJ_decimal,PHYS_SIZE_MIN,PHYS_SIZE_MIN_decimal
187,62,0.0622,46,0.0455,14.601,14.6012,110.6,110.580,10.20,10.1969,23.5,23.520,1.17,1.167,1.07,1.074,37.5,37.532,34.5,34.546
188,107,0.1068,8,0.0078,14.342,14.3424,24.4,24.438,8.99,8.9892,30.0,29.959,3.26,3.258,2.84,2.838,23.2,23.163,20.2,20.174
189,0,0.0000,47,0.0469,13.841,13.8411,41.9,41.940,9.66,9.6588,68.6,68.606,2.10,2.099,1.30,1.297,25.6,25.607,15.8,15.825
190,425,0.4253,0,0.0000,14.438,14.4377,7.0,7.000,7.87,7.8651,62.6,62.636,1.36,1.355,0.80,800,2.8,2.759,1.6,1.629
191,357,0.3567,59,0.0592,13.419,13.4191,79.5,79.459,10.38,10.3826,64.4,64.379,1.22,1.216,0.62,615,28.1,28.111,14.2,14.219
192,80,0.0802,24,0.0235,14.854,14.8543,70.4,70.427,9.70,9.7038,26.1,26.085,1.10,1.099,0.99,991,22.5,22.515,20.3,20.299
193,542,0.5422,0,0.0000,13.472,13.4718,32.5,32.500,9.59,9.5851,61.3,61.287,1.89,1.892,0.95,946,17.9,17.890,8.9,8.946
194,0,0.0000,31,0.0305,14.874,14.8745,29.5,29.509,8.94,8.9401,90.0,90.000,1.12,1.125,0.40,400,9.7,9.653,3.4,3.433
195,363,0.3632,67,0.0666,14.548,14.5481,90.3,90.284,10.04,10.0420,64.9,64.944,1.02,1.023,0.51,511,26.9,26.874,13.4,13.407
196,1.089,1.0894,14,0.0136,14.161,14.1610,51.5,51.457,9.71,9.7085,79.2,79.169,1.10,1.096,0.27,267,16.4,16.412,4.0,4.001
197,518,0.5177,0,0.0000,8.134,8.1343,3.1,3.100,9.68,9.6790,61.5,61.466,19.95,19.953,10.07,10.069,18.0,17.992,9.1,9.080
